Rank,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
133,SY,23.8,3.5,15.0,25.6,18.0,6.4
134,PY,22.8,8.4,16.6,22.7,19.0,47.9
135,IR,22.7,7.7,16.2,19.9,15.1,32.0
136,NP,22.7,3.2,14.2,23.5,17.4,30.6
137,MG,22.2,6.6,15.4,23.4,15.4,14.8
138,BD,21.2,2.4,13.0,25.6,15.3,38.9
139,EG,19.6,3.9,12.8,20.1,17.6,22.7
140,AF,19.1,2.0,11.6,16.6,13.2,35.7
141,IN,19.0,4.7,12.8,21.9,15.2,83.8
142,PK,17.7,3.1,11.3,17.1,14.0,33.6
143,LY,17.2,3.8,11.3,20.9,11.6,55.9
